SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,34,8,7,19
TOTAL POINTS,,,,
EARNED,29,7,6,16
MOST POINTS IN A,,,,
MATCH,3,3,2,2
NOT OUT % ?,0,0,0,0
TOTAL RAIDS,0,0,0,0
SUCCESSFUL RAIDS,,,,
%,0,0,0,0
NO OF SUPER RAID?S,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,0,0,0,0
AVERAGE RAID,,,,
POINTS / MATCH,0,0,0,0
NO OF SUPER ?,,,,,
TACKLES,,0,0,0,0
HIGH 5S ?,,0,0,0,0
TOTAL TACKLE,,,,,
POINTS,,29,7,6,16
AVERAGE TACKLE /,,,,,
MATCH,,0.85,0.87,0.85,0.84
TOTAL TACKLES,,112,31,29,52
TACKLE STRIKE RATE,,25.89 %,22.58 %,20.68 %,30.76 %
