SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,
MATCHES PLAYED,32,15,8,4,5,
TOTAL POINTS,,,,,,
EARNED,63,39,15,0,9,
MOST POINTS IN A,,,,,,
MATCH,7,7,4,0,4,
NOT OUT % ?,70.83 %,69.56 %,77.77 %,60 %,70 %,
TOTAL RAIDS,144,92,27,5,20,
SUCCESSFUL RAIDS,,,,,,
%,37.5,39.13,40.74,0,35,
NO OF SUPER RAID?S,0,0,0,0,0,
SUPER 10S ?,0,0,0,0,0,
TOTAL RAID POINTS,54,36,11,0,7,
AVERAGE RAID,,,,,,
POINTS / MATCH,1.68,2.4,1.37,0,1.4,
NO OF SUPER ?,,,,,,
TACKLES,2,1,0,0,1,
HIGH 5S ?,0,0,0,0,0,
TOTAL TACKLE,,,,,,
POINTS,9,3,4,0,2,
AVERAGE TACKLE /,,,,,,
MATCH,0.21,0.13,0.5,0,0.2,
TOTAL TACKLES,26,11,10,0,5,
TACKLE STRIKE RATE,34.61 %,27.27 %,40 %,0,40 %,
