,HOMELATEST UPDATES ?GALLERY ?SCHEDULESTANDINGSTEAMS ?STATSABOUT ?FAN ARMY ?,,
?SQUAD,,,
,,,
,,,
,,,
,,"AEIPODE","GHAFFARIITIONNATIONALITYENDER, LEFT COVER ? IRAN"
SEASONS,OVERALL,SEASON 7,
,,,
MATCHES PLAYED,9,9,
"TOTAL POINTSEARNED",8,8,
"MOST POINTS IN AMATCH",4,4,
NOT OUT %?,100%,100%,
,,,
TOTAL RAIDS,1,1,
"SUCCESSFUL RAIDS%",0,0,
NO OF SUPER RAID?S,0,0,
SUPER 10S?,0,0,
TOTAL RAID POINTS,0,0,
"AVERAGE RAIDPOINTS / MATCH",0,0,
,,,
"NO OF SUPER?TACKLES",0,0,
HIGH 5S?,0,0,
"TOTAL TACKLEPOINTS",8,8,
"AVERAGE TACKLE /MATCH",0.88,0.88,
TOTAL TACKLES,20,20,
TACKLE STRIKE RATE,40%,40%,
