SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,86,14,18,22,16,4,12
TOTAL POINTS,,,,,,,
EARNED,239,37,51,61,53,11,26
MOST POINTS IN A,,,,,,,
MATCH,8,5,8,6,6,3,5
NOT OUT %,79.62%,75%,0,85.71%,0,100%,85.71%
TOTAL RAIDS,54,4,2,7,2,4,35
SUCCESSFUL RAIDS %,18.51,25,100,0,100,0,14.28
NO OF SUPER RAIDS?,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0
TOTAL RAID POINTS,10,1,2,0,2,0,5
AVERAGE RAID,,,,,,,
POINTS / MATCH,0.11,0.07,0.11,0,0.12,0,0.41
NO OF SUPER ?,,,,,,,
TACKLES,18,3,4,6,4,0,1
HIGH 5S ?,11,2,4,2,3,0,0
TOTAL TACKLE POINTS,229,36,49,61,51,11,21
AVERAGE TACKLE /,,,,,,,
MATCH,2.45,2.35,2.5,2.5,2.93,2.75,1.66
TOTAL TACKLES,429,70,85,117,89,27,41
TACKLE STRIKE RATE,53.38%,51.42%,57.64%,52.13%,57.30%,40.74%,51.21%
