SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 3
MATCHES PLAYED,39,7,14,16,2
TOTAL POINTS,,,,,
EARNED,100,8,50,40,2
MOST POINTS IN A,,,,,
MATCH,10,3,10,8,2
NOT OUT %,73.30%,68.18%,79.43%,63.88%,0
TOTAL RAIDS,236,22,141,72,1
SUCCESSFUL RAIDS %,37.71,31.81,34.75,45.83,0
NO OF SUPER RAIDS?,2,0,1,1,0
SUPER 10S ?,1,0,1,0,0
TOTAL RAID POINTS,89,7,49,33,0
AVERAGE RAID,,,,,
POINTS / MATCH,2.28,1,3.5,2.06,0
NO OF SUPER ?,,,,,
TACKLES,3,0,0,3,0
HIGH 5S ?,0,0,0,0,0
TOTAL TACKLE POINTS,11,1,1,7,2
AVERAGE TACKLE /,,,,,
MATCH,0.2,0.14,0.07,0.25,1
TOTAL TACKLES,44,10,3,23,8
TACKLE STRIKE RATE,25%,10%,33.33%,30.43%,25%
