SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3
MATCHES PLAYED,28,12,5,9,1,1
TOTAL POINTS,,,,,,
EARNED,27,17,0,9,1,0
MOST POINTS IN A,,,,,,
MATCH,4,4,0,2,1,0
NOT OUT %,50%,66.66%,0,41.66%,0,0
TOTAL RAIDS,18,6,0,12,0,0
SUCCESSFUL RAIDS %,27.77,16.66,0,33.33,0,0
NO OF SUPER RAIDS?,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0
TOTAL RAID POINTS,5,1,0,4,0,0
AVERAGE RAID,,,,,,
POINTS / MATCH,0.17,0.08,0,0.44,0,0
NO OF SUPER ?,,,,,,
TACKLES,1,1,0,0,0,0
HIGH 5S ?,0,0,0,0,0,0
TOTAL TACKLE POINTS,22,16,0,5,1,0
AVERAGE TACKLE /,,,,,,
MATCH,0.75,1.25,0,0.55,1,0
TOTAL TACKLES,68,37,6,23,1,1
TACKLE STRIKE RATE,32.35%,43.24%,0,21.73%,100%,0
