SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,60,12,20,17,11
TOTAL POINTS,,,,,
EARNED,71,14,18,33,6
MOST POINTS IN A,,,,,
MATCH,7,7,5,6,2
NOT OUT %,89.47%,0,88.88%,90%,0
TOTAL RAIDS,19,0,9,10,0
SUCCESSFUL RAIDS %,5.26,0,0,10,0
NO OF SUPER RAIDS?,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0
TOTAL RAID POINTS,1,0,0,1,0
AVERAGE RAID,,,,,
POINTS / MATCH,0.01,0,0,0.05,0
NO OF SUPER ?,,,,,
TACKLES,7,3,1,3,0
HIGH 5S ?,5,1,1,3,0
TOTAL TACKLE POINTS,70,14,18,32,6
AVERAGE TACKLE /,,,,,
MATCH,1.05,0.91,0.85,1.7,0.54
TOTAL TACKLES,153,30,45,62,16
TACKLE STRIKE RATE,45.75%,46.66%,40%,51.61%,37.50%
