SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,109,18,14,20,14,13,14,16
TOTAL POINTS,,,,,,,,
EARNED,284,37,31,42,50,46,42,36
MOST POINTS IN A,,,,,,,,
MATCH,8,5,4,7,8,6,5,8
NOT OUT %,90.62%,100%,75%,88.88%,87.50%,100%,100%,100%
TOTAL RAIDS,32,2,4,9,8,3,5,1
SUCCESSFUL RAIDS %,21.87,0,0,33.33,37.5,0,0,100
NO OF SUPER RAIDS?,0,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0,0
TOTAL RAID POINTS,7,0,0,3,3,0,0,1
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0.06,0,0,0.15,0.21,0,0,0.06
NO OF SUPER ?,,,,,,,,
TACKLES,23,3,3,4,3,2,3,5
HIGH 5S ?,18,1,0,2,4,6,3,2
TOTAL TACKLE POINTS,277,37,31,39,47,46,42,35
AVERAGE TACKLE /,,,,,,,,
MATCH,2.33,1.88,2,1.75,3.14,3.38,2.78,1.87
TOTAL TACKLES,555,81,69,83,87,74,72,89
TACKLE STRIKE RATE,49.90%,45.67%,44.92%,46.98%,54.02%,62.16%,58.33%,39.32%
