SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 3
MATCHES PLAYED,16,9,6,1
TOTAL POINTS,,,,
EARNED,18,6,12,0
MOST POINTS IN A,,,,
MATCH,4,2,4,0
NOT OUT %,86.66%,100%,100%,0
TOTAL RAIDS,15,10,3,2
SUCCESSFUL RAIDS %,6.66,0,33.33,0
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,1,0,1,0
AVERAGE RAID,,,,
POINTS / MATCH,0.06,0,0.16,0
NO OF SUPER ?,,,,
TACKLES,0,0,0,0
HIGH 5S ?,0,0,0,0
TOTAL TACKLE POINTS,17,6,11,0
AVERAGE TACKLE /,,,,
MATCH,1.06,0.66,1.83,0
TOTAL TACKLES,43,18,25,0
TACKLE STRIKE RATE,39.53%,33.33%,44%,0
